Compiled loss functions
compiled score function
770 138.024459839 140.120117188
771 138.009506226 140.479660034
772 137.841415405 139.831344604
773 137.811523438 139.902481079
774 138.005569458 140.227737427
775 137.842163086 139.844451904
776 137.816268921 139.760406494
777 138.190124512 140.284347534
778 137.804641724 139.740356445
779 137.684295654 139.72052002
780 137.74621582 139.68800354
781 137.850082397 139.917068481
782 137.795440674 139.642044067
783 137.875411987 139.905258179
784 137.92489624 139.763153076
785 137.836532593 140.02394104
786 137.725860596 139.75617981
787 137.93447876 139.859939575
788 137.793395996 139.643707275
789 137.70904541 139.804672241
790 137.901229858 139.998153687
791 137.821640015 139.731750488
792 138.190612793 140.467651367
793 137.734130859 139.752105713
794 137.827804565 140.007522583
795 137.766571045 139.797912598
796 137.678649902 140.004714966
797 137.792221069 140.116516113
798 137.779159546 139.876647949
799 138.098022461 139.866928101
800 137.706253052 139.634552002
801 137.683670044 139.791946411
802 137.698348999 139.809417725
803 137.952819824 140.312652588
804 137.980682373 140.060562134
805 137.764923096 139.973449707
806 137.581558228 139.93371582
807 137.592224121 139.878250122
808 137.860443115 139.976089478
809 137.951583862 140.399459839
810 137.932510376 140.193557739
811 137.718429565 140.058639526
812 137.732192993 139.718338013
813 137.854309082 140.064727783
814 137.813613892 140.038101196
815 137.67388916 139.776672363
816 137.835952759 139.836547852
817 138.244735718 140.056259155
818 137.971420288 140.178070068
819 137.567520142 139.78326416
820 137.678482056 139.995788574
821 137.558395386 139.826965332
822 137.585845947 139.671142578
823 137.828262329 140.087783813
824 137.842071533 140.087554932
825 138.017333984 140.340164185
826 138.108520508 140.355834961
827 137.951873779 140.172714233
828 137.824966431 140.095657349
829 137.861663818 140.120178223
830 137.7605896 140.007522583
831 137.825119019 139.966766357
832 137.765869141 140.000747681
833 137.851593018 139.986694336
834 137.972061157 140.257995605
835 137.761871338 139.829193115
836 137.673538208 139.84425354
837 137.809951782 139.580276489
838 137.921905518 140.32484436
839 137.96774292 140.171813965
840 137.6459198 139.79624939
841 137.580673218 139.584823608
842 137.574462891 139.854751587
843 137.640838623 139.93800354
844 137.87449646 140.180526733
845 137.842529297 140.20475769
846 137.53604126 139.734512329
847 138.077926636 140.384765625
848 137.674911499 139.683013916
849 137.631393433 139.684967041
850 137.728500366 139.693832397
851 137.739135742 139.968353271
852 137.757720947 139.865982056
853 137.691360474 139.656219482
854 137.736450195 139.752853394
855 137.803833008 139.870239258
856 137.726486206 140.037353516
857 137.577255249 139.575775146
858 137.816970825 139.9400177
859 137.570571899 139.744064331
860 137.670913696 139.574249268
861 137.560180664 139.700820923
862 137.931686401 139.982727051
863 137.563491821 139.678344727
864 137.558441162 139.53843689
865 137.757598877 139.994491577
866 137.59236145 139.820556641
867 137.517242432 139.608184814
868 137.567169189 139.568603516
869 137.44758606 139.757324219
870 137.68989563 139.736679077
871 137.85484314 139.970077515
872 137.651733398 139.562637329
873 137.640853882 139.745254517
874 137.693359375 139.752151489
875 137.842575073 140.082366943
876 137.589050293 139.7527771
877 137.657653809 139.792404175
878 137.676879883 139.863525391
879 137.45249939 139.633270264
880 137.896743774 140.018127441
881 137.658340454 139.786956787
882 137.641998291 139.677490234
883 137.791900635 139.732177734
884 137.545333862 139.606109619
885 137.539642334 140.011016846
886 137.579208374 139.599716187
887 137.581253052 139.536514282
888 137.645874023 139.67829895
889 137.656173706 140.009765625
890 137.827774048 140.026565552
891 137.638381958 139.914993286
892 137.680145264 139.627059937
893 137.441558838 139.453231812
894 137.691802979 139.800415039
895 137.642745972 139.62272644
896 137.877655029 139.742767334
897 137.675750732 139.851928711
898 137.740982056 139.786026001
899 137.503250122 139.618728638
900 137.834030151 139.905014038
901 137.501861572 139.600540161
902 137.50289917 139.800964355
903 137.526992798 139.588226318
904 137.616668701 139.722900391
905 137.478225708 139.834487915
906 137.634338379 139.791534424
907 137.859222412 139.914291382
908 137.746612549 139.993621826
909 137.577438354 139.781341553
910 137.736221313 140.105422974
911 137.52923584 139.739898682
912 137.35307312 139.541244507
913 137.588088989 139.673614502
914 137.545730591 139.633682251
915 137.506652832 139.653945923
916 137.745071411 139.762985229
917 137.688400269 139.689697266
918 137.827011108 139.860214233
919 137.584518433 139.690261841
920 137.652099609 139.91015625
921 137.676361084 140.062774658
922 137.760055542 140.207748413
923 137.527481079 139.606750488
924 137.508926392 139.970291138
925 137.389862061 139.562698364
926 137.640335083 139.347061157
927 137.418991089 139.693603516
928 137.530349731 139.732818604
929 137.344207764 139.519088745
930 137.335144043 139.439422607
931 137.703491211 139.680648804
932 137.59262085 139.720291138
933 137.450164795 139.625350952
934 137.633560181 139.860351562
935 137.643890381 139.86567688
936 137.340301514 139.598968506
937 137.488693237 139.844482422
938 138.033813477 139.974090576
939 137.441238403 139.663269043
940 137.423675537 139.53175354
941 137.62663269 139.695281982
942 137.480377197 139.418838501
943 137.368164062 139.850540161
944 137.45123291 139.590515137
945 137.600280762 139.684692383
946 137.465911865 139.793838501
947 137.623046875 139.607803345
948 137.717880249 139.956680298
949 137.422592163 139.527984619
950 137.394317627 139.667984009
951 137.485778809 139.655075073
952 137.395751953 139.804290771
953 137.523010254 139.961380005
954 137.387207031 139.462768555
955 138.038009644 140.050582886
956 137.559661865 139.478820801
957 137.551681519 139.70149231
958 137.759292603 140.027923584
959 137.656860352 139.90802002
960 137.270736694 139.605712891
961 137.355529785 139.536499023
962 137.531112671 139.628295898
963 137.431427002 139.833724976
964 137.162475586 139.459106445
965 137.376205444 139.596099854
966 137.681365967 139.981491089
967 137.268997192 139.477340698
968 137.521835327 139.830322266
969 137.427337646 139.404434204
970 137.378173828 139.41619873
971 137.503662109 139.89213562
972 137.498153687 139.524627686
973 137.439086914 139.54649353
974 137.388641357 139.702209473
975 137.406463623 139.634399414
976 137.288101196 139.52243042
977 137.390029907 139.477767944
978 137.425827026 139.669876099
979 137.393508911 139.634094238
980 137.366348267 139.601837158
981 137.323013306 139.454971313
982 137.548492432 139.813690186
983 137.43560791 139.367523193
984 137.584884644 139.914260864
985 137.544708252 139.658859253
986 137.462875366 139.682754517
987 137.399032593 139.600753784
988 137.569000244 139.755096436
989 137.811462402 139.843215942
990 137.610778809 139.660995483
991 137.446960449 139.648788452
992 137.453781128 139.931152344
993 137.410766602 139.649749756
